Account Title,Abstracts
Infrared Thermography Camera: A non-invasive tool to aid in the development of science based solutions for improving the welfare of animals,"The overall aim of the UBC Animal Welfare Program is to improve the lives of animals through research, teaching and outreach. The aim of this specific proposal is to request funds to purchase an Infrared Camera and two lenses that will allow for objective non-invasive measurement of changes in peripheral skin and/or eye temperature of animals before, during and after an environmental or physiological stressor. Changes in skin and eye temperature have been used to assess both disease (i.e. fever associated with infectious diseases or inflammatory issues) and emotional states of the animals. The farm animal industries are under increasing pressure to minimize the pain and distress farm animals experience when exposed to routine management procedures such as castration, dehorning, or transport. To date the majority of research in this area has focused on physiological changes that require blood sampling, which requires physical restraint and likely some discomfort. In contrast the infrared technology requested is non-invasive and allows for real-time measurements. Our first aim is to use this non-invasive method to improve our understanding the effects of routine management practices on animal emotions (e.g. fear) and to determine if refinements in how these practices can aid in mitigating these extent to which animals express these negative emotions. With the exception of fear, few emotions have been described in farm animals despite a growing body of evidence suggesting that they are able to experience a very complicated emotional life. There is also a growing body of evidence that animals differ in their ability to cope with negative experiences. Thus, our second aim is to assess the relationship between consistent individual differences in behaviour, frequently referred as 'personality traits', and differences in the intensity of the stress response. Collectively these lines of research will lead to a better understanding of individual variation and most importantly of its consequences on the welfare of farm animals. Although it is commonly assumed that challenging situations are individually perceived and consequently result in different types of responses by different animals (within the same species) little consideration have been taken regarding individual characteristics within a farm animal species. Improved understanding of individual responses at the behavioural and physiological level is an important step in understanding the individual emotional life of farm animals. The purchase of the infrared camera is an important necessary step in achieving these aims."
"Deficit irrigation and crop size adjustment strategies for improving the
concentration of aromatic compounds in white grapes in British Columbia
climates","In white wines, the wine aroma plays a major role in determining wine quality and economic value. In many grape varieties cultivated in BC, the aroma makeup is built in the vineyard where key aromatics accumulate in the grapes. Irrigation and crop size adjustments are two main strategies that growers have adopted to manage fruit ripening and composition. Both strategies have been largely used as a tool to improve the composition of red grapes but very limited information is available on the impact of these strategies on the accumulation of aromatics in white grapes. This project aims to evaluate the effect of deficit irrigation and crop size adjustment strategies on the concentration of aromatics in white grapes and wines. The goal is to develop an irrigation and crop size adjustment strategy that maximizes the level of aromatics produced in white grapes cultivated in BC while minimizing water demands."
Effects of ultraviolet-B radiarion on ecophysiology of weedy species,"Chlorofluorocarbons and other O3 antagonists have been suggested to increase terrestrial ultraviolet B (UV-B; 290 to 320 nm) levels by thinning the stratospheric O3 layer. This radiation reduces plant growth and alters plant morphology and biomass partitioning. Intra- and interspecific interactions are important in determining the structure and dynamics of plant communities. The competitive balance among species in populations is influenced by the entire environmental complex. Even subtle differences in response to this radiation at the seedling stage can be pivotal to altering the competitive interactions among species. The research proposed in this application focuses on effects of UV-B radiation on weed and crop seedlings in an agroecological context, emphasizing their intra- and interspecific interactions, as well as their interactions with biotic (e.g. insects) and abiotic (e.g. moisture stress) environments. The specific objectives are to determine: (1) if soil moisture stress and UV-B radiation interact in influencing intra- and interspecific competitive interactions in weed-crop mixtures, and to investigate the morphological underpinnings of these interactions, (2) if exposure of seedlings of broccoli and its common weeds to UV-B radiation influences growth, development, and feeding and/or egg-laying preferences of Trichloplusia ni (cabbage looper), and whether T. ni preference changes with the age of the UV-B exposed plants, (3) if the UV-B radiation influences water-use-efficiency of seedlings of broccoli and its commonly associated weeds (C. album and C. bursa-pastoris), and the role of leaf surface characteristics in this influence, (4) if the influence of UV-B radiation on leaf surface characteristics affects the efficacy of foliar-applied chemicals by affecting leaf retention characteristics, and (5) if the UV-B level during seed development influences C. officinale seed germination behaviour, which in turn influences its soil-borne seed bank dynamics, and if a reduction in vegetative growth by UV-B stress influences the fecundity of this weed."
Weaning distress in dairy calves,"The welfare of animals, especially those used in food production, has become an area of increasing social concern. A research priority cited repeatedly by agricultural and other animal-user groups is the development of methodology for a more objective assessment of animal well-being. My proposal involves developing methods for the scientific study of animal welfare, and applying these methods to socially and economically important issues in the care of farm animals. This project will be the first comprehensive research on weaning distress in the dairy calf. In calves, as in other mammalian species, weaning is characterized by abnormally high levels of activity, distress vocalizations, decreased food intake, poor growth, and gastrointestinal dysfunction. Weaning normally involves both a change from milk to solid-based diet and separation from the mother. Dairy calves, however, are separated from the cow within the first day of life and weaned from milk to solid food weeks later. Thus this system provides an ideal model for understanding factors affecting weaning distress independent of separation from the dam. The research will provide basic insights into such issues as the regulation of injestive behaviour, and the importance of nutritional, social and developmental factors in affecting weaning stress. The work will also provide a basis for applied research of practical relevance to dairy producers, in developing rearing methods that provide improvements to both the calf and to the productivity of the farm. The funds will go toward training of young scientists to help meet a growing demand for academics, veterinarians and other professionals with expertise in animal welfare research."
The vulnerable transition cow: coping with illness,"This research will provide new insights into the behavioural changes in animals associated with the onset of disease. The dairy cow provides an excellent system for studying these changes because many cows become ill, and much of this illness is concentrated in a period of a few weeks around the time of calving. These ‘sickness behaviours’ have been studied in humans and laboratory animals, but very little work has been done on farm animals. Previous work in my laboratory has provided some of the first data showing that certain behaviours, such as reduced feeding and social interactions, can identify cows at risk for disease after calving. The objective of the proposed research program is to develop a more fundamental understanding of the relationship between behaviour and health in dairy cows. Specifically, I propose a series of experiments designed to I) identifying the range of sickness behaviours performed by dairy cows, discriminating between those behavior that provide both short- and long-term benefit to the cow, and 2) identifying aspects of a cow's social environment, including her particular coping strategy to a stressful environment, that might increase her susceptibility to disease. The appropriate use and treatment of animals are among the most important challenges facing animal agriculture today, and the high rate of illness at the time of calving is also of great concern."
Molecular characterization of Salmonella enterica in food supply systems,"Salmonella is the leading cause of foodborne deaths in Canada and worldwide. Salmonella outbreaks have been associated with not only foods of animal origins, but also fresh produce and tree nuts. My long term goal is to develop integrative approaches to investigate the fundamental issues associated with Salmonella contamination on a ""farm-to-fork"" basis, with the aid of genomics approaches and big data-driven analysis. There are three focus areas (FAs) in my research proposal: (FA1) Use geospatial algorithms to predict the prevalence and persistence of Salmonella in food-production environment in British Columbia; (FA2) Identify and characterize genetic factors modulating Salmonella survival in food supply systems; (FA3) Evaluate the performance of novel antimicrobials in reducing Salmonella contaminations in food supply systems. The suite of projects described in my proposal comprises a unique, synergistic approach to generate knowledge that will foster new ideas for mitigation strategies aiming at reducing Salmonella infections. The results of our research will be communicated in a readily understandable form such as the production of food safety publications, and be accessible to stakeholders including public and private sectors as well as Canadian consumers."
Ecophysiology of weedy species,"The use of chlorofluorocarbons and other ozone antagonists has been suggested to increase terrestrial UV-B radiation (290-320 nm) by thinning the stratospheric ozone layer. We have shown that weedy species differ in their response to UV-B radiation and that this radiation significantly influences interaction of weeds with associated crops, weedy neighbours, and other components of their biotic environment. I intend to continue this line of research and explore some new but related areas to advance our holistic understanding of weed ecophysiology in an agroecological context. 

The research proposed in this application will attempt to determine if: (I) UV-B radiation modifies the size hierarchy of the agricultural weed Chenopodium album (lambsquarters ), (2) UV-B level during seed development influences Cynoglossurn officinale (hound's-tongue) seed germination behaviour, which may influence its seed bank dynamics, (3) UV-B radiation influences the allelopathic influence of Sisymbrium altissimum (tall hedge mustard) on its biotic associates, (4) UV-B radiation influences mycorrhizal colonization in selected rangeland weeds, and this varies among UV-B susceptible and tolerant species indicated by their growth and morphological response, (5) UV-B radiation influences carbon transfer between C. officinale and its associated grasses, and if plant developmental stage and species-specific damage by selective herbicide or clipping alters the source-sink relationship that regulates carbon transfer via mycorrhizal connections. 

This research will improve our understanding of the effect of UV-B radiation on size hierarchy and reproductive success of weedy species and of the roles of allelopathy and arbascular mycorrhizae in the interaction of weeds with their biotic environment. In addition to answering significant biological questions, the research will also provide information that could be useful in developing improved weed management strategies.
"
Response of verocytotoxin-producing escherichia coli to environmental stresses in food supply systems,"Verocytotoxin-producing Escherichia coli (VTEC) are foodborne microorganisms capable of causing bloody diarrhea, hemolytic uremic syndrome (HUS) and deaths; thus they represent a serious public health concern. Although 0157:H7 is the best known and studied VTEC serotype, there is growing concern over the emergence of more than 200 highly virulent non-0157 STEC serotypes, several of which are associated with foodborne outbreaks and/or severe human illness. Understanding how VTEC adapt to foods and food processing procedures is a key to prevent VTEC transmission throughout the food supply chain. However, VTEC are an extremely heterogeneous group of organisms that vary significantly in prevalence and persistence in many foods and food processing environments. There is currently limited information on the genetic basis of the ability of VTEC to respond to a number of distinct environmental stresses. The overall goal of my research program will be to better understand how VTEC respond to specific, defined stresses present in foods and also food processing environments. I hypothesize that a fundamental understanding of the biology of these bacteria can lead to targeted mitigation strategies. My five-year research program aims to identify important genetic factors that contribute to VTEC survival during the exposure to (i) stresses commonly associated with food processing (i.e., sanitation, antimicrobial treatment and heat treatment) and (ii) storage in major food vehicles that are commonly associated with VTEC infections (i.e., fresh produce and ground beef). I will test a diversified panel of VTEC strains isolated from the environment, sporadic illness, and outbreak isolates in Canada and the USA for both survival and growth potential in foods and in response to food- processing procedures. Furthermore, I, along with trained HQP will use transcriptomics (qPCR and RNASeq) and mutagenesis (transposon mutagenesis and targeted gene deletion) approaches to identify and characterize the genetic factors that VTEC rely on to respond to the environmental stresses. These studies will address fundamental questions of stress response and .environmental adaptation of VTEC which should provide new knowledge on how VTEC survive in foods and associated food processing environments. As more than two-thirds of the VTEC strains I investigate were isolated in Canada, my research will provide unique insights into the VTEC related food safety issues present in Canada. Overall, the results from my research program will serve as an important step towards the development of surveillance and mitigation strategies for VTEC associated foodborne diseases. Training of HQP will be another important outcome of my research program."
Unrestricted Research Funds,This account is being set up as a source of start-up funds for the new researcher.
Elucidating soil carbon dynamics for climate change adaptation and mitigation tradeoff analysis at a landscape scale,"A key strategy to improve the resiliency of agricultural production and also reduce the impact of agriculture on climate change (i.e. adaptation and mitigation) is the adoption of beneficial management practices (BMPs) that increase soil organic carbon (SOC) sequestration. However, the magnitude of this potential is unclear and recent work indicates SOC losses due to increasing temperatures may be higher than previously expected. To resolve this uncertainty a number of questions need to be addressed at multiple spatial and temporal scales. At the field scale, questions remain about the dynamics of SOC in relation to various environmental (e.g. temperature, precipitation) and management factors (e.g. tillage, land use change). Factors affecting rates of SOC loss are poorly understood as is the rate that SOC can be regained or at what concentration gains will level off. At the landscape scale it is unclear how effectively process-models predict long-term changes in SOC given BMP configurations and land-use change and whether new modeling approaches can improve the accuracy of simulations. 

The overarching long-term goal of my research program is to develop strategies that simultaneously maximize SOC retention within agricultural landscapes while minimizing GHG emissions. Our short-term program is focused primarily on understanding the mechanisms that control SOC dynamics and improving process models to test hypotheses at the landscape scale. Our Research Portal approach entails scaling plot level analyses to the landscape and projecting outcomes over time using geographical information systems, remote sensing and ecosystem process models. The overarching objective of our five-year research program will address the following question: Does the rate, quantity and duration of SOC sequestration under perennial vegetation BMPs enable the optimization for both agricultural climate change adaptation and mitigation objectives at the landscape scale. 

My lab’s five year research program has three specific objectives: 
(1.) Quantify the rate, amount and duration of SOC sequestration and losses for BMPs and land use change; 
(2.) Elucidate the mechanisms that control SOC dynamics for these land management options; and 
(3.) Parameterize, validate and model BMPs and land use change options at the landscape scale given expected climate projections to test for adaption and mitigation synergies.

My research program will increase the understanding of the mechanisms that control SOC sequestration to develop regionally appropriate models and help improve global ones. This research will greatly enhance Canadian and global efforts to meet commitments to mitigate climate change while at the same time improve the capacity to produce food.
"
Functional characterization of genes required for yeast fitness during fermentation,"The unicellular yeast Saccharomyces cerevisiae (S. cerevisiae) is a model organism for understanding conserved cellular processes and is also a key microorganism for industrial food production. The modem S. cerevisiae genome has evolved to withstand the harsh environmental conditions of wine fermentation. However, most studies of S. cerevisiae gene function are performed in relatively benign laboratory conditions and as a result, 15% of yeast genes still have no known function. The changes to cellular metabolism that enable survival of yeast during fermentation are also poorly understood. My lab has assessed the growth of all nonessential S. cerevisiae genes during grape juice fermentation. We have discovered that autophagy (literally, ""self-eating""), a process whereby cells engulf their own cytoplasm and recycle unwanted organelles for reuse of essential nutrients, is important for cellular fitness during fermentation. A number of other genes either positively or negatively affect cell survival under fermentation conditions, including over fifty genes with no previously known cellular function. This study provides a framework for understanding how yeast are adapted to fermentation and suggests possible means to improve the ability of commercial yeast strains to withstand the fermentation process. My NSERC Discovery Grant proposes to understand the mechanistic details of how autophagy is induced during fermentation and to provide a function for uncharacterized genes that have altered fitness during fermentation. Future implications of this proposal include developing stress resistant wine yeast strains with improved fermentation capability. Understanding stress resistance pathways in yeast creates potential to increase stress resistance in wine yeast, improve industrial performance and reduce the cost to Canadian wineries of incomplete (sluggish or stuck) fermentations."
"Improving on-farm drainage management to reduce the impacts of climate change in Delta, BC","Delta, British Columbia is one of the province's most productive agricultural regions but faces critical challenges from a changing climate. Precipitation patterns are expected to continue to shift, impeding agriculture producers' ability to manage their fields by reducing the number of ""workable"" days. This shift in precipitation pattern may also increase flooding and risk of catastrophic crop loss. Increased salinization of highly productive soils in Delta is also a concern. This project will address these issues through the following objectives: 1. Demonstrate and evaluate new on-farm strategies for addressing drainage and salinity problems; 2. Improve producer understanding of existing drainage and salinity management options; and 3. Increase producer access drainage and salinity management information and tools and promote promising strategies. This project is a collaborative effort among the University of British Columbia, the Delta Farmers Institute, the Delta Farmland and Wildlife Trust, and numerous producers in Delta."
Determination of the essential nutrient profile of flaxseed cooking oil,"Flaxseed oil is well known for its high content of a-linolenic acid and phenolic compounds such as lignans. The conventional flaxseed oil is only used on salad dressings and unsuitable for frying foods due to its low smoke point. By improving the extraction techniques using a cold-pressing/filtering system, a high quality of flaxseed oil with a high smoke point is recently achieved. However, the characterization of the essential nutrient profile of this type of flaxseed cooking oil is still limited. The objectives of this collaboration between UBC Food Science Program and a flaxseed oil company located in Richmond, BG Health Group Inc. are as follows: 1) to determine the fatty acid composition of flaxseed oil using gas chromatography-mass spectrometry (GC-MS); 2) to determine the content of lignan in flaxseed oil using high performance liquid chromatographic (HPLC) analysis, 3) to determine the content of tocopherol in flaxseed oil using HPLC analysis. Flaxseed cooking oil and several representative vegetable cooking oils will be used for the study of these nutrient profiles. With an optimized and standardized sample preparation protocol, chromatographic-based analysis is expected to accurately quantify the contents of fatty acids, lignan, and tocopherol in flaxseed cooking oil. The difference in the essential nutrient profile between flaxseed cooking oil and other commercial vegetable cooking oils will be compared as well. In sum, this study is positioned to benefit the flaxseed oil manufacture industry in Canada by developing a standardized chromatographic-based protocol to determine the essential nutrient profile of flaxseed cooking oil."
Determination of the physicochemical properties of flaxseed oil extracted using an innovative cold-pressing/filtering system,"Flaxseed oil is well known for its high content of a-linolenic acid and phenolic compounds such as lignans. The conventional flaxseed oil is only used on salad dressings and unsuitable for frying foods due to its low smoke point. By improving the extraction techniques using a cold-pressing/filtering system, a high quality of flaxseed oil with a high smoke point is recently achieved. However, the characterization of the essential nutrient profile of this type of flaxseed cooking oil is still limited. The objectives of this collaboration between UBC Food Science Program and a flaxseed oil company located in Richmond, BG Health Group Inc. are as follows: 1) to determine the fatty acid composition of flaxseed oil using gas chromatography-mass spectrometry (GC-MS); 2) to determine the content of lignan in flaxseed oil using high performance liquid chromatographic (HPLC) analysis, 3) to determine the content of tocopherol in flaxseed oil using HPLC analysis. Flaxseed cooking oil and several representative vegetable cooking oils will be used for the study of these nutrient profiles. With an optimized and standardized sample preparation protocol, chromatographic-based analysis is expected to accurately quantify the contents of fatty acids, lignan, and tocopherol in flaxseed cooking oil. The difference in the essential nutrient profile between flaxseed cooking oil and other commercial vegetable cooking oils will be compared as well. In sum, this study is positioned to benefit the flaxseed oil manufacture industry in Canada by developing a standardized chromatographic-based protocol to determine the essential nutrient profile of flaxseed cooking oil."
Characterizing phytochemical content of bioactive coffee leaf materials for use in coffee tea leaf beverages,"The project is designed to better understand the chemical and bioactive potential that is offered by coffee leaf; to standardize the composition (chemical components and related bioactivity) which will be used for quality standards of the commodity. Specifically, we will endeavor two objectives. 1) to characterize the phytochemical content (e.g. chlorogenic acids, mangiferin and isomangiferin) and related antioxidant and anti-inflammatory activities, both before and after processing (e.g. forms of powders, extracts and supplement); 2) To determine the release of phytochemical bioactives with infusion of boiling water over time (e.g. 0-20 minutes); characteristic to temperature, (e.g. 35°, 50°, 75°, 85° and 100° C), to simulate tea brewing. These research activities will yield outcomes that should enable the company to support claims for quality (taste) and bioactivity (antioxidant/anti-inflammatory). These activities could also translate into potential intellectual property for standardized phytochemical compositions with known bioactivity."
UBC Unrestricted Research Funds,"My research program is focused on working with farmers, and other land managers of agricultural landscapes to find ways to better monitor, protect and enhance biodiversity and the availability of ecosystem services including food, fiber, fuel and timber production, greenhouse gas mitigation, and water quality and quantity regulation. My research has been concentrated on assessing the impact of farm management practices on plant biomass and biodiversity, soil physical and chemical properties, nutrients in water storm and irrigation runoff, and carbon dioxide (CO2) and nitrous oxide (N20) emissions. I am interested in developing methods to translate these measures of ecosystem function into estimates of the availability of ecosystem services. Then to bridge results from plot and farm level to those at larger scales, at the watershed, landscape and region using remote sensing and geographical information system tools. By providing landscape level assessments I see the possibility for farmers to not only better understand wider implications of their management practices but also to provide decision makers tools to address the increasing need for agricultural landscape to meet multiple societal objectives beyond just food production."
Structure function and food related proteins,"The long-term goal of our NSERC-funded research program has been to understand the fundamental processes that explain how protein functionality is dictated by protein structure. In food systems, proteins (including enzymes) have prominent roles in texture, flavour, odour, nutrition and prophylaxis in food safety/plant pathology (e.g., antimicrobial and plant defense proteins) as well as being processing aids (e.g., chymosin coagulates milk in cheese production). The research focus of this proposal is on a group of enzymes called aspartic proteases which share highly similar structures and modes of action, that are best represented by the stomach enzyme pepsin. Despite this uniformity, A wide wide spectrum of different functions exist making them an ideal model to study how protein structure determines function. Building on previous research by our group and others, the proposed research program addresses fundamental knowledge gaps in two overarching areas: 1) Food spoilage-related bioactive protein segments of aspartic proteases in plants; and 2) The underpinnings of aspartic protease structure tolerance to heat and alkalinity, and selectivity for particular targets. For the first research area, aspartic proteases from plants have an extra portion compared to those from non-plant sources called the plant-specific insert (PSI). The PSI is critical for plant aspartic proteases to interact with membranes, including activity against plant pathogens as part of plants’ immune responses to invading fungi. The structure and specific points of contact with membranes will be solved at the highest level of detail in order to better understand the mode of action of the PSI. The second research area will entail solving the structures of a little-studied malarial aspartic protease (plasmepsin V) complexed with well-known inhibitors to narrow the possible range of binding sites so as to direct computer-aided inhibitor design specific to plasmepsin V. Three studies will contribute to understanding how highly unusual aspartic proteases are able to work at extreme temperature (thermopsin from an organism in acidic hot springs) and non-acidic pH (renin from human kidney). Thermopsin and renin will serve as templates for engineering pepsin (which is not temperature- or neutral pH-stable) by providing a means of testing the stabilizing effects of key structural features. The impact of the proposed research program will be to improve knowledge regarding AP structures and functions thereby enabling novel strategies for interventions in food-related challenges such as plant diseases and enzyme biotechnological applications."
Characterizing microflora composition during the spontaneous fermentation of cassava flour,"Quejos Ancient Foods (QAF) Inc. manufactures a line of dough-based food products that are gluten- and yeast-free. The dough is made from cassava flour, which is extracted from the roots of cassava plants. Traditionally, the cassava flour undergoes fermentation without the addition of yeast before the dough is made, and this process is not strictly regulated. In order to develop a standardized fermentation procedure for the production of a consistently high-quality product, effective monitoring and controlling of the indigenous microflora is therefore necessary. We expect to generate critical information for the development of science-based quality control in the production of fermented cassava flour-based products by QAF. Specific objectives include: (1) to study the diversity and dynamics of the indigenous microflora during the fermentation of cassava flour; (2) to evaluate the quality of cassava flour at different stages of fermentation, and (3) to evaluate the effectiveness of biomarkers in assessing the quality of fermented cassava flour."
"New approaches to welfare assessment in dairy calves: effects of social housing on cognition, cognitive bias and anticipatory behaviour","The welfare of farm animals has become an area of increasing concern. A research priority cited by animal-user groups is the development of more objective methods of assessment of animal welfare. My proposal addresses this priority by developing new methods for welfare assessment. One recent conceptual innovation has been to use changes in cognitive functioning to assess affective states. Borrowing on experimental approaches designed to assess depression in humans, recently modified for use in animals, my research will test the effects of changes in affective states (such as those associated with social separation) on how dairy calves respond to ambiguous stimuli. Arguably equally important, and more practical to assess, are changes in anticipatory behaviours that may also be used to assess subjective states, so I propose a parallel series of experiments testing the effects of social separation on anticipatory behaviour. The social separation model is particularly relevant for dairy calves, as these animals are typically housed in individual pens or hutches. A growing body of literature on rats suggests that rearing animals with this level of social isolation can result in cognitive deficits, characterized by problems in memory and learning tasks. I propose a series of tests assessing the effects of social and individual housing on measures of cognition in dairy calves; these will be the first ever tests of the effects social isolation on cognition in farm animals. Thus the proposed experiments will contribute to the basic literature on the effects of social experience on learning, and use measures from learning experiments to assess changes in welfare associated with social isolation. My research will use robotic calf feeders to train calves in learning tasks; these feeders are becoming common on dairy farms, increasing the potential for future application of my findings on commercial farms. The funding will be largely devoted towards the training of scientists, helping to meet a growing demand for academics and professionals with expertise in animal welfare."
NSERC/SPCA-BCVMA-Animal Industries Senior Industrial Research Chair in Animal Welfare (research),"Since the 1960's, the welfare of animals, especially those used in food production and biomedical research, has become an area of increasing social concern. The UBC Animal Welfare Program is an active group of approximately 30 researchers working to improve the lives of farm, laboratory and companion animals. This proposal provides core funding for this group for the next five years. We propose new work in four areas. I) Farm animal work will focus especially on dairy cattle, including a comprehensive study of the development of hoof lesions early in the cow's first lactation for the purpose of assessing how lesions affect gait, and how housing, management and cow behaviour contribute to lesions. 2) Laboratory animal work will include research on housing that better meets the animals' needs, combined with an evaluation of the humaneness of different methods of euthanasia. 3) Companion animal work will focus especially on aggressive dogs by surveying various breeds for temperament differences predictive of aggression, and identifying how aggression varies according to the dog's age, gender, neutering, and the dog-owner relationship. 4) Research on social consensus on animal care will focus on understand public values regarding animals, beginning with views about the types and level of care that pet owners should provide and which obligations should be enshrined in public policy. The proposed work will also contribute to the emerging field of animal welfare science, especially through developing and testing new methods for researching the welfare of animals. Methodological advances are expected in the use of behaviours as indicators of pain and distress, in the application of the Marginal Value Theorem in assessing how animals value different design features in their environment, and a novel integration of anthropological and biological data as a basis for animal-related social policy."
Deficit irrigation and crop size adjustment strategies for improving the concentration of aromatic compounds in white grapes in British Columbia climates,"In white wines, the wine aroma plays a major role in determining wine quality and economic value. In many grape varieties cultivated in BC, the aroma makeup is built in the vineyard where key aromatics accumulate in the grapes. Irrigation and crop size adjustments are two main strategies that growers have adopted to manage fruit ripening and composition. Both strategies have been largely used as a tool to improve the composition of red grapes but very limited information is available on the impact of these strategies on the accumulation of aromatics in white grapes. This project aims to evaluate the effect of deficit irrigation and crop size adjustment strategies on the concentration of aromatics in white grapes and wines. The goal is to develop an irrigation and crop size adjustment strategy that maximizes the level of aromatics produced in white grapes cultivated in BC while minimizing water demands."
A return to simple and historically successful micronutrient interventions: Thiamin-fortified fish sauce combats ‘hidden hunger’ in rural Cambodia,"Food fortification, or adding vitamins and minerals to commonly consumed foods, has been successfully employed in Canada since the mid-twentieth century. Salt iodization, the addition of vitamins A and D to milk, and B vitamin fortification of white flour have nearly eradiated micronutrient deficiency diseases in Canada and throughout the economically developed world. However, the lessons learned from this simple, cost-effective, sustainable, and ‘passive’ intervention have not transcended borders for widespread use in all developing regions. In Cambodia, only iodine (salt) fortification is mandatory, and although smaller scale iron (fish and soy sauce) and vitamin A (vegetable oil) fortification programs are being piloted, morbidity and mortality caused by micronutrient deficiencies continues to plague vulnerable groups, including young children and childbearing women. 

Thiamin (vitamin B1) deficiency remains an often-overlooked public health issue in Cambodia, causing an estimated 500 infants deaths annually. Women with poor dietary thiamin intake produce breast milk with a low thiamin content, putting their exclusively breastfed infants at a high risk of developing infantile beriberi. After identifying widespread poor thiamin status among a representative group of women of childbearing age in rural Prey Veng province, Cambodia, we looked to historical solutions to tackle this issue, and developed thiamin-fortified fish sauce. Extensive product development research confirmed that thiamin stability for at least one year in this popular Cambodian condiment, and sensory evaluation revealed that thiamin does not affect the taste, smell, or texture of fish sauce. Women and their families consumed the study fish sauce as they normally would over six months in a double-blind randomized controlled trial. Thiamin status improved among women and their children, as well as among a subgroup of pregnant and lactating women consuming fortified fish sauce compared to an identical control (placebo) fish sauce. While no public health intervention can truly reach everyone, high fish sauce consumption compliance highlights the potential of fish sauce as an ideal fortification vehicle in Cambodia beyond a controlled study environment. In collaboration with the Cambodian Ministries of Planning and Health, we hope to scale up fish sauce fortification to combat thiamin deficiency throughout Cambodia. We also plan to explore other vitamins not typically present in fortification programs (eg. riboflavin) to combat multiple micronutrient deficiencies with one intervention.

Looking to past successes to tackle population-wide micronutrient deficiencies, fortification is an ideal public health nutrition intervention in Cambodia and potentially other regions with a high burden of hidden hunger."
Development of humane wildlife control accreditation program,"British Columbia is known internationally for its diverse wildlife and landscapes, but human-wildlife conflict often arises over concerns for disease transmission, public and pet safety, and nuisance activities. World-wide, vertebrate pest control - the active removal of undesirable wild animals - is one of the major causes of intentional killing by humans. The potential for animal suffering is high, but there are no established scientific criteria or consensus on what methods should be regarded as humane for use in Canada. Further, minimum legal standards vary by jurisdiction and there is typically little enforcement to ensure that humane methods are used. One consequence is frequent conflict between the animal protection movement and others including conservationists. An international collaboration will be formed to establish criteria, scientific evidence, and expert opinion leading to science-based guidelines on humane pest control, initially to create an accreditation program in BC, but with a view to providing global leadership."
Ecophysiology of weedy species,"The use of chlorofluorocarbons and other ozone antagonists has been suggested to increase terrestrial UV-B radiation (290-320 nm) by thinning the stratospheric ozone layer. We have shown that weedy species differ in their response to UV-B radiation and that this radiation significantly influences interaction of weeds with associated crops, weedy neighbours, and other components of their biotic environment. I intend to continue this line of research and explore some new but related areas to advance our holistic understanding of weed ecophysiology in an agroecological context. 

The research proposed in this application will attempt to determine if: (I) UV-B radiation modifies the size hierarchy of the agricultural weed Chenopodium album (lambsquarters), (2) UV-B level during seed development influences Cynoglossum officinale (hound's-tongue) seed germination behaviour, which may influence its seed bank dynamics, (3) UV-B radiation influences the allelopathic influence of Sisymbrium altissimum (tall hedge mustard) on its biotic associates, (4) UV-B radiation influences mycorrhizal colonization in selected rangeland weeds, and this varies among UV-B susceptible and tolerant species indicated by their growth and morphological response, (5) UV-B radiation influences carbon transfer between C. officinale and its associated grasses, and if plant developmental stage and species-specific damage by selective herbicide or clipping alters the source-sink relationship that regulates carbon transfer via mycorrhizal connections. 

This research will improve our understanding of the effect of UV-B radiation on size hierarchy and reproductive success of weedy species and of the roles of allelopathy and arbascular mycorrhizae in the interaction of weeds with their biotic environment. In addition to answering significant biological questions, the research will also provide information that could be useful in developing improved weed management strategies.
"
Examining school day dietary practices: An analysis of national dietary data from the 2004 and 2015 Canadian Community Health Surveys,"Ensuring that children have access to healthy food to grow, learn and thrive is a critical challenge in Canada, since few Canadian children meet Canada's Food Guide's recommendations for healthy eating. Children report even lower dietary quality as they grow into teenagers, and face additional barriers to a healthy diet if they grow up in households with insufficient financial means to access nutritious food. Schools have the potential to make a difference since most Canadian students eat one or more meals at school on weekdays and can improve access to nutritious foods via school meal programs, and nurture healthy habits through nutrition education programs and supportive school food environments. Since 2004, all 10 Canadian provinces have created policies about what types of foods schools should offer but some advocates think schools should be doing more to support health by improving access to healthy meals, milk programs and further reducing access to 'junk' foods. Yet little is known about what Canadian children eat during school hours or how children's dietary quality at school has changed over the last decade as new policies and programs have been implemented. In 2015, Statistics Canada carried out a nation-wide survey of what Canadians eat, making it the first survey of national dietary habits since 2004 and only the second national nutrition survey since the 1970s. This study will take advantage of this valuable opportunity to combine information from these two national nutrition surveys to answer important questions about what children eat during schools hours, how diets have changed over time and whether different cities and provinces have fared better when it comes to what children eat. We will also study what children drink at school, whether drinking milk during school-hours helps children meet their needs for important nutrients, and what role eating at fast food restaurants plays in the diets of Canadian students. This study is important for informing national policy debates about how best to improve the diets of Canadian children and for understanding how schools might make an impact on children's health."
