Title	Department	Institution	Abstract	Start Date	End Date	Funding Agency	Researchers	Topic
Paving the Way for Salmon-Kelp Integrated Aquaculture in British Columbia: A Foundational Field Trial Assessing Sugar Kelp (Saccharina latissima) Growth and Quality at BC Salmon Farms		"North Island College (NIC); Cermaq Canada Ltd.; Creative Salmon Company Ltd.; Grieg Seafood BC Ltd.; Mac’s Oysters Ltd.; Odyssey Shellfish Ltd.
"	"Kelp is a fast-growing marine crop that requires virtually zero energy inputs, utilizing sunlight and dissolved nutrients (e.g., nitrogen, phosphorus) from the surrounding environment for growth. This study examined the feasibility of growing kelp on commercial salmon farm tenures where levels of dissolved nitrogen and phosphorus may be locally-enriched. In January 2016, Sugar Kelp (Saccharina latissima) seed was deployed on 5 m vertical polyethylene lines at 15 salmon farms and two oyster farms around Vancouver Island. Kelp was harvested in the summer after approximately 150 days; frond length, width, wet/dry weight, proximate analysis, and metal accumulation were measured. Maximum frond length ranged from <20 cm to >330 cm, depending on the site. Proximate analysis (KJ, protein, ash, fat, calories, carbohydrates, moisture) of dried kelp revealed site-specific differences in nutritional parameters, with carbohydrates ranging from 20.4% to 47.5% of tissue dry weight. Metal accumulation (Al, As, Ca, Cd, Cu, Fe, K, Mg, Mn, Na, P, Pb, Zn) in kelp tissue from the 15 salmon farms is being measured using inductively coupled plasma optical emission spectrometry (ICP-OES). A follow-up, more intensive kelp production trial at select sites will commence in 2017 using horizontal kelp lines deployed from customized floating rafts. The siting of many salmon farm operations in British Columbia would support excellent Sugar Kelp production, a sustainable crop with diverse commercial applications. Through field studies such as this we hope to demonstrate the feasibility of salmon-kelp integrated aquaculture in BC with the goal of improving the environmental and socio-economic performance of salmon farm tenures. "	OCT. 2015	DEC. 2017	"Natural Sciences and Engineering Research Council (NSERC)–Industrial Research Chairs for Colleges Grant (NSERC–IRCC), Cermaq Canada Ltd.; Creative Salmon Co. Ltd.; Grieg Seafood BC Ltd.; North Island College (NIC)

"	"Stephen Cross (NIC), Allison Byrne (NIC), NIC-CARTI; Cermaq Canada Ltd.; Creative Salmon Company Ltd.; Grieg Seafood BC Ltd.; Mac’s Oysters Ltd.; Odyssey Shellfish Ltd.
"	Aquaculture - Environmental Interactions
The Effects of Sublethal Aquaculture Chemotherapeutant Exposure on Pink Salmon		Simon Fraser University (SFU)	"An improved understanding of chemical impacts on near-shore ecosystems is essential to responsible stewardship of Canada’s coastal areas. In order to accurately assess the risk to non-target marine fish species posed by the use of the chemotherapeutants emamectin benzoate, azamethiphos, deltamethrin, cypermethrin, or hydrogen peroxide in the receiving environment, information regarding their sublethal toxicity is essential. Pink Salmon (Oncorhynchus gorbuscha) embryos were hatched in the laboratory, transferred to seawater, and raised until they were the appropriate size for swimming and behavioural assays following exposure (pulse: 1 h, 3 h, 6 h; and longer term: 96 h) to several concentrations of each aquaculture chemical. Fish were tested for swimming performance using a measure of critical swimming speed (Ucrit), avoidance/attraction behaviour, and the ability to detect food. All aquaculture pesticides (except hydrogen peroxide) reduced Ucrit values at concentrations below 96 h-LC50 values determined for this species in preliminary toxicity tests. For azamethiphos, cypermethrin, deltamethrin, and emamectin benzoate, concentration-dependent reductions in swim performance were seen. Fish actively avoided all chemicals except deltamethrin at similar concentrations and avoidance to hydrogen peroxide only occurred at the highest concentration. Following exposure to each chemical at various concentrations for longer exposures (6 and 96 h), a loss of attraction to food was noted in olfactory response tests. The data obtained from this research will allow regulators to assess the risks posed to the environment adjacent to salmon aquaculture facilities and the risks posed to non-target fish species from chemotherapeutant use. New data will support assessments of risks posed to the environment adjacent to salmon aquaculture facilities and the risks posed to non-target fish species from chemotherapeutant use. DATE: SEP. 2014–MAR. 2017"	SEP. 2014	MAR. 2017	"DFO–National Contaminants Advisory Group (DFO–NCAG), Simon Fraser University (SFU)"	"Chris Kennedy (SFU), Katerina Vasilenko (SFU)"	Aquaculture - Environmental Interactions
"The Lethal, Physiological, and Behavioural Effects of Anti-Sea Lice Therapeutants in Non-Target Crustacean Species"		Simon Fraser University (SFU)	"Environmental contamination and effects on non-target organisms associated with the chemotherapeutic control of sea lice infestations in salmonid aquaculture has emerged as a significant concern. This research specifically addresses information gaps that need to be filled to properly manage any risks associated with the use of three chemicals currently used in Canada. Several shrimp species were tested for the acute lethal effects of current-use chemicals: the reference species Mysid shrimp (Mysidopsis bahia East coast species), and several species of Pacific shrimp including the Coonstripe (Pandalus hypsinotus), Dock (Pandalus danae), and Pink Shrimp (Pandalus jordani), Spot Prawn (Pandalus platyceros), Ghost Shrimp (Neotrypaea spp.), and an unidentified sand shrimp. Shrimp were exposed to at least five concentrations of either SLICE®, Salmosan®, or Paramove 50® for 1 to 96 h. Juvenile Pacific coast shrimp were equally as sensitive to all three chemicals as their east coast counterparts. Spot Prawn (Pandalus platyceros) exposed to water containing the active ingredients of SLICE®, Salmosan®, and Paramove 50® (emamectin benzoate, azimethiphos, and hydrogen peroxide) resulted in concentration-dependent increases in oxygen consumption. In a choice/ avoidance assay, unexposed Spot Prawns, acclimated in a shuttle box apparatus, showed conflicting results to hydrogen peroxide, emamectin benzoate, and azamethiphos at several concentrations. Prawns were actively attracted and actively avoided all chemicals at low concentrations. This research will ensure the appropriate regulation of chemotherapeutant use in Canadian aquaculture and maintain the goal of protecting non-target organisms in the marine environment. New data will support assessments of risk from current-use chemotherapeutants posed to a range of non-target benthic crustaceans found in proximity to Pacific salmon aquaculture facilities. "	OCT. 2015	MAR. 2017	"DFO–National Contaminants Advisory Group (DFO–NCAG), Simon Fraser University (SFU)
"	"Chris Kennedy (SFU), Jill Bennett (SFU)"	Aquaculture - Environmental Interactions
The Effects of Anti-Sea Lice Chemotherapeutants on Sensitive Life Stages of Non-Target Crustacean		Simon Fraser University (SFU)	"Species in Combination with Environmental Stressors There is specific concern regarding the use of the anti-sea lice therapeutants Salmosan®, SLICE®, and Paramove 50® in the aquaculture industry specifically in regard to their toxicity to Pacific coast region organisms. In real world scenarios, organisms are often challenged with multiple environmental stressors simultaneously, including those of a physical nature (e.g., oxygen, temperature, and salinity fluctuations). In these studies, the range of oxygen, temperature, and salinity tolerances in Spot Prawn, Pandalus platyceros, were determined in order to design experiments to measure the acute toxicity of these chemicals under varying physical conditions. In acute lethality studies, Spot Prawn juveniles and adults were exposed to five concentrations of each individual chemical formulation in glass 40-L glass aquaria for up to 96 h under varying oxygen, temperature, and salinity conditions. Juvenile Spot Prawns were much more sensitive to all chemicals than adults, and acute toxicity was exacerbated by exposure to physical conditions approaching tolerable limits. In particular, oxygen concentrations, followed by temperature, and then salinity had the most pronounced effects on increasing chemical toxicity. This research specifically addresses information gaps that need to be filled in order for proper assessments of the environmental consequences of sea lice pesticide use in Canada to be made. This research provided information on the toxicity of these chemicals under environmentally realistic conditions to a representative and sensitive Pacific coast marine organism. New data will support assessments of risk from chemotherapeutant use in combination with environmental stressors posed to a non-target benthic crustacean found in proximity to Pacific coast salmon aquaculture facilities. "	SEP. 2014	MAR. 2017	"DFO–National Contaminants Advisory Group (DFO–NCAG), Simon Fraser University (SFU)
"	"Chris Kennedy (SFU), Kate Mill, Jill Bennett (SFU)"	Aquaculture - Environmental Interactions
The Environmental Fate and Non-Target Effects of Sea Lice Drugs and Pesticides Used in Salmon Aquaculture		"Simon Fraser University (SFU), Nautilus Environmental"	"Five chemotherapeutants used globally to control sea lice in salmon farming operations of particular interest with regard to their fate and toxicity are: deltamethrin, cypermethrin, azamethiphos, hydrogen peroxide, and emamectin benzoate; the latter three of which are currently used in Canada. Predictions of the persistence and toxicity of these chemicals to non-target organisms has been difficult, and data gaps make estimations of risk highly inaccurate. The main objectives of this research were to assess: 1) the environmental persistence and partitioning of these compounds, and 2) their acute and sublethal toxicity to non-target marine organisms. In micrososm experiments, the partitioning behaviour, and water and sediment half-lives were determined. Emamectin benzoate, cypermethrin, and deltamethrin partitioned mainly into sediments, while azimethiphos and hydrogen peroxide remained in the aqueous phase. Generally, the persistence of these chemicals was cypermethrin > deltamethrin > emamectin benzoate > azimethiphos > hydrogen peroxide. In standardized acute toxicity tests, the susceptibility to each chemical was species-specific and no general trends were evident. Kelp Macrocystis pyrifera germination and growth were only affected by hydrogen peroxide. Echinoderm Strongylocentrotus purpuratus fertilization was affected by cypermethrin > deltamethrin > emamectin benzoate > hydrogen peroxide. Bivalve Mytilus edulis development was affected by hydrogen peroxide > emamectin benzoate > azamethiphos. For the mysid Americamysis bahia, all chemicals tested were highly toxic at concentrations far below those used in aquaculture (deltamethrin > cypermethrin > emamectin bezoate > azimethiphos > hydrogen peroxide). This research yields important information required to ensure the proper and safe use of aquaculture pesticides, and to appropriately regulate these important aquaculture chemicals to protect the environment. New information on the environmental fate and non-target toxicity of five chemotherapeutants will inform decisions on the responsible use and management of these products for the control of sea lice. "	SEP. 2014	MAR. 2017	"DFO–National Contaminants Advisory Group (DFO–NCAG), Simon Fraser University (SFU)"	"Chris Kennedy (SFU), Fauve Strachan (SFU), Frank Gobas, Victoria Otton (SFU; Nautilus Environmental)
"	Aquaculture - Environmental Interactions
Structure and Function of the Salmon Farm “Reef”		"Fisheries and Oceans Canada (DFO), North Island College (NIC), Cermaq Canada Ltd., Creative Salmon Company Ltd.,  Grieg Seafood BC Ltd., SEA Vision Group Inc."	"The presence of fish farm infrastructure provides habitat for native marine flora and fauna from the surrounding environment, in many ways acting as an artificial “reef”. This project is documenting the reef community structure at four salmon farms in different environments around Vancouver Island. Scraped samples and high-resolution photos of the community at each site are being collected seasonally from billets on all sides of the farm. The abundance (biomass per unit area) and composition (biodiversity) of the communities will be compared within and between sites over time. In addition to seasonal billet sampling, five hard plastic panels were deployed at 1 m depth at each site and will remain in the water undisturbed (with the exception of being photographed) for 18 months. These will be used to document and compare the settlement rate and composition in different farming environments. Understanding the community of native species inhabiting fish farm infrastructure over time and in different locations will help identify key relationships between salmon farms and the surrounding environment, providing insight into the function of these dynamic communities. "	APR. 2016	MAR. 2018	"BCSFA–Marine Environmental Research Program (BCSFA–MERP); Cermaq Canada Ltd.; Creative Salmon Co. Ltd.; Grieg Seafood BC Ltd.; Marine Harvest Canada Limited; North Island College (NIC)
"	"Stephen Cross (NIC), Chris McKindsey (DFO); Allison Byrne (NIC); NIC–CARTI; Cermaq Canada Ltd.; Creative Salmon Company Ltd.; Grieg Seafood BC Ltd.; SEA Vision Group Inc.

"	Aquaculture - Environmental Interactions
Tracking in Situ Real-Time Responses of Ocean Acidification Effects on Biological Organisms and Influence on Plankton Diversity		Fisheries and Oceans Canada (DFO); Vancouver Island University (VIU); Microthalassia Inc.; Hakai Institute	"Coastal margins are under increasing human-induced pressures including eutrophication and ocean acidification, which interact with natural environmental fluctuations in ways that can exacerbate calcium carbonate (CaCO3) mineral corrosivity. Ocean acidification negatively impacts a range of species, especially those dependent on CaCO3 saturation states for shell formation, including socio-economically important species like marine shellfish. The capacity for marine populations to adapt to these changes is unknown, and the loss of dominant coastal and estuarine organisms such as shellfish may significantly alter marine ecosystem structure and function, as well as threaten food security. This research combines lower trophic level monitoring (plankton analysis), physiological responses (functional genomics of multiple species of shellfish) and high speed (0.5Hz) near real-time oceanographic monitoring at a field site in the northern Salish Sea in British Columbia (BC). This initial project is a novel pairing of these technologies in situ, and provides information on coastal variability and impacts on ecosystem productivity in a poorly sampled portion of the BC coastal margin. This work is currently ongoing, but preliminary results of gene expression studies of multiple commercial shellfish species and accompanying plankton work are underway. Recent equipment updates have allowed direct sampling of biological responses to ocean acidification conditions in a real world environment, to enable the examination of the impact of ocean acidification on the long-term health and productivity of coastal ecosystems in BC and elsewhere."	FEB. 2015	ONGOING	"Hakai Institute; Pacific Salmon Foundation (PSF); Vancouver Island University (VIU)
"	"Helen Gurney-Smith (DFO); Wiley Evans (Hakai Institute); Kayla Mohns, Caitlin Smith (VIU); Tamara Russell (VIU; Microthalassia Inc.), Léo Pontier, Katie Pocock, Alex Hare (Hakai Institute)


"	Aquaculture - Environmental Interactions
"Robustness of Alternative Benthic Impact Indicators: Quantification of Spatial and Temporal Variability of Alternative Methods, and Application at Aquaculture Sites Across Different Farm and Environmental Conditions "		Fisheries and Oceans Canada (DFO)	"Benthic effects associated with biochemical oxygen demanding (BOD) matter effluents at aquaculture sites are currently assessed by monitoring the oxic state of surficial sediment. The Aquaculture Activity Regulations (AAR) require measurements of sulfide concentrations around finfish aquaculture sites as a proxy for benthic biodiversity impacts. However, it has been widely recognized that there are some problems with current protocols used for monitoring the oxic state of sediments. Alternative methods for measuring sulfide and oxygen concentrations have been developed that may address some of the weakness of the methods traditionally used. This project will test these new methodologies and technologies across a range of aquaculture (shellfish and finfish) and seabed conditions (mud, sand, and mixed) in Canada to determine the general applicability of these methods for reaching conclusions on sediment oxic state and related benthic impacts, and to measure the temporal and spatial variability in oxic state indicators among these different methods."	APR. 2016	MAR. 2019	DFO–Program for Aquaculture Regulatory Research (DFO–PARR)	"Lindsay Brager (DFO); Peter Cranford, Fred Page, David Wong, Brent Law (DFO)"	Aquaculture - Environmental Interactions
The Development of a Robust Methodology for Sulfide Probe Calibration and Sediment Sampling		Fisheries and Oceans Canada (DFO); SIMCorp; Atlantic Canada Fish Farmers Association (ACFFA); Nova Scotia Department of Fisheries and Aquaculture (NSDFA); New Brunswick - Department of the Environment and Local Government (NB-DELG); 	"The results of this project can contribute to the development of a reliable, accurate, consistent, and robust methodology for sediment sampling, which could be adopted by provincial regulators. In various provinces, sulfide concentrations in sediment are measured as the fundamental indicator of environmental impacts from aquaculture. Because each provincial government has established its own SOPs for interpreting sulfide concentrations, the evaluation of environmental impacts could differ among provinces. Previous research has revealed that the standard solutions (“standards”) used in sediment sulfide monitoring and probe accuracy (post-calibration) degrade significantly over time. These findings suggest the need for standardized sediment sulfide methodologies. This study examines potential sources of error related to the methods used in the collection, storage, transportation, and handling of sediment samples. This project supports the DFO objective of environmental performance. Specifically, the following results were found: 
• Sample collection: No one sampler worked well in all sediment types investigated. In all sediment types, multiple samples may need to be taken before an acceptable one is collected. Video footage of deployment and retrieval of gear was useful in assessing gear performance and confidence in the integrity of collected samples.
• Sample storage: During storage, sediment sulfide concentration changed over time, depending on sediment type, level of sulfide present, and storage temperature. To reduce variability due to storage, all samples should be treated uniformly until analyzed. 
• Sample analysis: Sulfide measurements should be made as soon as possible after collection, with a standardized time of analysis established. The differing ages of probes used in analyses were not a concern in readings.
"	JUL. 2014	JUN. 2016	DFO–Aquaculture Collaborative Research and Development Program (DFO–ACRDP); Atlantic Canada Fish Farmers Association (ACFFA); SIMCorp	"Monica Lyons (DFO); Blythe Chang, David Wong, Kenneth MacKeigan, Fred Page, Ed Parker, Nathan Blasco (DFO); Bob Sweeney, Leah Lewis-McCrea, Tara Daggett, Amanda Smith, Janelle Arsenault (SIMCorp); Jessica Whitehead (NSDFA); Troy Lyons (NB–DELG); Betty House (ACFFA); Betty House (ACFFA); Bob Sweeney (SIMCorp)"	Aquaculture - Environmental Interactions
2010–2017: Seven Productive Years for the Canadian Integrated Multi-Trophic Aquaculture Network (CIMTAN)		"Fisheries and Oceans Canada (DFO); Simon Fraser University (SFU); University of Victoria (UVic); University of New Brunswick - St. John (UNBSJ), New Brunswick Research and Productivity Council (NBRPC); Cooke Aquaculture Inc.; Kyuquot SEAfoods Ltd.; Marine Harvest Canada Limited; Grieg Seafood BC Ltd."	"After seven years of intense activities, between 2010 and 2017, the NSERC strategic network, the Canadian Integrated Multi-Trophic Aquaculture Network (CIMTAN), is finished. The aim of CIMTAN’s research was to ecologically engineer systems for increased environmental sustainability (ecosystem services and green technologies for improved ecosystem health), economic stability (improved output, lower costs, product diversification, risk reduction, and job creation in coastal and rural communities), and societal acceptability (better management practices, improved regulatory governance, nutrient trading credit incentives, and appreciation of differentiated and safe products). The Network was organized into three linked Domains: 1) environmental system performance and species interactions; 2) system design and engineering; and 3) economic analyses and social implications. Each Domain was co-led by one scientist at an academic institution and one at a Fisheries and Oceans Canada (DFO) laboratory. The entire Network was comprised of 28 scientists from 8 universities, 6 DFO laboratories, 1 provincial government laboratory (New Brunswick Research and Productivity Council), and 4 industrial partners. The Network was hosted by the University of New Brunswick in Saint John (UNBSJ), where the Scientific Director of the Network was located. The budget for CIMTAN was nearly $12.8 M over the 7 years of its existence. This was consequential as it enabled the Network to obtain far-reaching achievements along the continuum R&D&C (commercialization). Of this, over $5 M was received from NSERC with the rest leveraged through both cash and in-kind contributions from government, academic, and industrial partners. Training of highly qualified personnel (HQP) was a very high priority for CIMTAN and 137 HQP (120% of the initial target) were trained: 76 undergraduate students, 35 Masters students, 6 PhD students, 7 postdoctoral fellows, 12 technicians, and 1 research scientist. CIMTAN enabled the priming of young talents so they could enter a highly skilled labour force well-prepared, capable of thinking critically and independently, and well-versed in the interdisciplinary approach to problem solving. Our CIMTAN HQP have either pursued higher academic degrees or found jobs in a variety of sectors (academic, industrial, regulatory or non-governmental). It is interesting to see how these HQP have become respected professionals and remarkable agents of knowledge dissemination and technology transfer in several sectors, to the extent that it is no longer necessary to re-explain what IMTA is about at each meeting. CIMTAN was always interested in disseminating and translating its scientific research, results, and perspectives. CIMTAN produced a substantial number of publications (617), testifying to the accomplishments and vitality of the Network. More than 1150 contacts were made with 232 media outlets across 42 countries, through interviews or citations. The deliberate choice to use a diverse array of documents and media platforms (scientific papers, papers and abstracts in conference proceedings, book chapters, theses, reports, professional magazines articles, newspapers/ radio/TV interviews and documentaries, public school activities, Google Scholar, ResearchGate, LinkedIn, YouTube videos, CIMTAN Snippets newsletter, Wikipedia, etc.) has enabled the Network to reach varied targeted fields and audiences in Canada and beyond, and to spread the IMTA message widely with researchers, federal and provincial agencies, the industry, professional associations, coastal and rural communities, First Nations, national and international environmental non-governmental organizations (ENGOs), and the general and school public. Two media were very successful at reaching audiences beyond those associated with the traditional scientific dissemination tools: the Network newsletter CIMTAN Snippets and 15 videos posted on YouTube. There were 40 issues of CIMTAN Snippets over 6 years, totaling 331 pages of information about the activities of the Network, sent to 842 subscribers, some of whom are known to have redistributed CIMTAN Snippets to others. YouTube has been a very efficient dissemination platform for the IMTA concept and the principles on which it is based. By December 31, 2016, the IMTA YouTube channel (https://www.youtube.com/user/ imtacanada/videos) had reached 85,334 total views of its 15 videos. The following research articles in this section describe each of the 16 projects of CIMTAN."	JAN. 2010	JAN. 2017	"Natural Sciences and Engineering Research Council of Canada (NSERC) Strategic Network Program; Fisheries and Oceans Canada (DFO); University of New Brunswick (UNB); New Brunswick Research Productivity Council (NBRPC); Cooke Aquaculture Inc.; Kyuquot SEAfoods Ltd.; Marine Harvest Canada Limited; Grieg Seafood BC Ltd.

"	"Thierry Chopin (UNBSJ), Bruce MacDonald, Adrian Hamer (UNBSJ); Gregor Reid (UNBSJ; DFO); Shawn Robinson, Chris Pearce, Saleem Rahman (DFO); Maycira Costa (UVic); Duncan Knowler (SFU); DFO; NBRPC; Cooke Aquaculture Inc.; Kyuquot SEAfoods Ltd.; Marine Harvest Canada Limited; Grieg Seafood BC Ltd.

"	Aquaculture - CIMTAN
Quantifying the Capture and Conversion Efficiencies of Species Being Considered for Organic Extraction in Open-Water IMTA Systems		"Fisheries and Oceans Canada (DFO), University of Victoria (UVic), Vancouver Island University (VIU), University of British Columbia (UBC), University of New Brunswick - St. John (UNBSJ), Vancouver Aquarium, Cooke Aquaculture Inc.; Kyuquot SEAfoods Ltd.
"	"This project assessed the capability of different invertebrate species to capture, absorb, and convert particulate fish-farm waste into new production. On the east coast, Blue Mussels (Mytilus edulis) were capable of ingesting and efficiently absorbing small organic material from both fish food and faeces. After a variety of feeding trials using artificial diets in the laboratory and natural particles at IMTA sites, we determined that the Orange-Footed Sea Cucumber (Cucumaria frondosa) could also efficiently extract larger organic material from farm waste. Biodeposition techniques and flume feeding trials revealed that C. frondosa fed equally among all particle sizes monitored (200-1200 ?m) but rates of clearance in the field (7.2 L day-1) were relatively low compared to other species being considered for mitigation. On the west coast, species assessed for extractive capabilities include filter feeders such as Basket Cockles (Clinocardium nuttallii) and Blue Mussels (M. edulis), as well as deposit feeders such as Green Sea Urchins (Strongylocentrotus droebachiensis), California Sea Cucumbers (Parastichopus californicus), and Pacific Prawns (Pandalus platyceros). Green Sea Urchins and California Sea Cucumbers ingest and absorb Sablefish (Anoplopoma fimbria) faeces at rates comparable to or higher than those for traditional diets such as kelps and natural sediment, respectively. This research has enabled the assessment of nutritional responses for a variety of shellfish and deposit-feeder species on diets of fish-farm organics, thereby providing crucial insight into co-cultured species selection and IMTA system efficiency. "	JAN. 2010	JAN. 2017	"Natural Sciences and Engineering Research Council of Canada (NSERC) Strategic Network Program; Fisheries and Oceans Canada (DFO); University of New Brunswick (UNB); New Brunswick Research Productivity Council (NBRPC); Cooke Aquaculture Inc.; Kyuquot SEAfoods Ltd.; Marine Harvest Canada Limited.; Grieg Seafood BC Ltd.

"	"Bruce MacDonald (UNBSJ), Shawn Robinson, Chris Pearce, Dan Curtis (DFO); Gregor Reid, Emily Nelson, Kurt Simmons (UNBSJ); Stephen Cross, Lindsay Orr, Sarah Sprague (UVic); Helen Gurney-Smith (VIU); Shannon Balfry (UBC); Vancouver Aquarium); Steve Pace (UBC)
"	Aquaculture - CIMTAN
Loma salmonae: A Microsporidian Model to Help Assess Transmission Dynamics to Pathogens within an IMTA Setting		University of Prince Edward Island (UPEI)	"Our goal has been to modify an infection model for the microsporidian pathogen Loma salmonae, and use this model to evaluate the role that Blue Mussels may have in extracting environmentally released spores within an IMTA setting. Specifically, asking the question of whether Blue Mussels may serve to mitigate disease transmission by deactivating spores that they encounter during feeding. The model has been successfully developed and now allows us to modify various environmental and temporal parameters. A very useful and unexpected outcome was the establishment of L. salmonae within cell culture. This advance will allow far greater flexibility in our studies, both as a tool for producing spores, but also for detecting them within environmental niches under study. To date, we have determined that Blue Mussels are very effective in extracting microsporidial spores from the environment; spores are subsequently released in pseudofeces, or feces, and small proportion of them stored for several weeks within mussel viscera. Spores are not rendered defective whether they are retained, or passed within egesta; in vitro tests of spore viability have been evaluated against the gold standard in vivo measures of infectivity. The introduction of a bivalve component alongside a salmon growing operation may provide beneficial disease reduction services. A greater understanding of disease dynamics between trophic levels is a key part of health management within integrated settings."	JAN. 2010	JAN. 2017	Natural Sciences and Engineering Research Council of Canada (NSERC) Strategic Network Program; Fisheries and Oceans Canada (DFO); University of New Brunswick (UNB); New Brunswick Research Productivity Council (NBRPC); Cooke Aquaculture Inc.; Kyuquot SEAfoods Ltd.; Marine Harvest Canada Limited; Grieg Seafood BC Ltd.	"Dave Speare (UPEI–AVC ); Sarah McConnachie, Nicole Guselle (UPEI–AVC)"	Aquaculture - CIMTAN
Cultivation of Complementary Inorganic Extractive Species for Increased System Performance		University of New Brunswick - St. John (UNBSJ); Cooke Aquaculture Inc.	"This project investigates the red alga Palmaria palmata (Dulse) for increased inorganic biomitigation of IMTA systems when kelps are not present at the sites. Large-scale cultivation of this species has been hampered by a complex life history, in which P. palmata alternates between sexual (with macroscopic male and microscopic female gametophytes) and asexual (with macroscopic tetrasporophytes) reproduction. One of the current challenges is that male gametophytes are indistinguishable from tetrasporophytes by conventional microscopy when they are not reproductive. We took two approaches (molecular and spectroscopic) to make identification easier. We designed and tested primers to target DNA in an intron region in an actin gene that is expressed in tetrasporophytes, but not in males, in an attempt to identify a sex-linked molecular marker, however, the intron region showed no difference. Individual ratios, or combinations of ratios, of spectral bands obtained by Raman and near infrared (NIR) spectroscopy allowed for classification between male gametophytes and tetrasporophytes. The cultivation of P. palmata in the laboratory has progressed (design and testing of new substrates/panels; increased light irradiance and photoperiod). The best timing of transfer to the sites remains to be better understood to reduce biofouling. The cultivation, harvesting, and processing of the two kelps (Saccharina latissima and Alaria esculenta) continue to be improved. They have continuously been organically certified since 2014. The project is also looking at the development of appropriate and efficient regulations for seaweeds and the management of inorganic nutrient loading, within an integrated coastal area management strategy and scale. This research has developed a better understanding of the issues related to the management of the inorganic load from aquaculture operations. It has highlighted the ecosystem functions and services provided by the inorganic extractive component of IMTA. It has brought understanding to the need to consider IMTA within the context of an integrated coastal area management strategy. Integration should be understood as cultivation in proximity, not considering absolute distances but connectivity in terms of ecosystemic functionalities, which means that entire bays/coastal areas/regions could be the units of IMTA management."	JAN. 2010	JAN. 2017	Natural Sciences and Engineering Research Council of Canada (NSERC) Strategic Network Program; Fisheries and Oceans Canada (DFO); University of New Brunswick (UNB); New Brunswick Research Productivity Council (NBRPC); Cooke Aquaculture Inc.; Kyuquot SEAfoods Ltd.; Marine Harvest Canada Limited; Grieg Seafood BC Ltd.	"Thierry Chopin (UNBSJ); Constanza Chianale, Caroline Longtin, Ellen Belyea, Adrian Hamer, Samuel Backman (UNBSJ); Cooke Aquaculture Inc."	Aquaculture - CIMTAN
Quantifying the Role of Microbes in the Nutrient Recycling of Organic Material from IMTA Sites		Fisheries and Oceans Canada (DFO); New Brunswick Research Productivity Council (NBRPC); University of New Brunswick - St. John (UNBSJ)	"Understanding the various paths and processes by which energy flows through an IMTA site is one of the main objectives in the creation of sustainable aquaculture systems using ecosystem-based approaches. As food from one trophic level is recycled through another, the energy associated with the organic particles is stripped out and is converted to inorganic waste products such as ammonia, carbon dioxide, or heat. This transfer process occurs between all trophic levels right down to the lowest where the bacteria and other microbes reside. The objective of this project was to evaluate and quantify the role that bacteria play in nutrient recycling at a salmon aquaculture site and to evaluate the relative scale of their ability to convert organic particles into inorganic components. Specifically, we enumerated bacteria and their respiration rates on and away from finfish aquaculture farms in both the water column and the benthos on a seasonal basis at IMTA sites in the Bay of Fundy. Additionally, we identified prominent members of the benthic and pelagic bacterial communities associated with the aquaculture sites and how they varied with depth, distance, and time. The results are demonstrating that these non-pathogenic bacteria are playing a very large role in carbon conversion on a farm lease and should be considered in the design of aquaculture sites in the future. This information is also contributing to a model being prepared on energy flow through an IMTA site. This research provided insight into the role heterotrophic bacteria are playing in the recycling of organic wastes near salmon aquaculture farms. This will provide much needed guidance on what the carrying capacity is for benthic and pelagic microbes to convert organic carbon which will have direct implications on feeding rates of the fish and time required for fallowing the site after a production cycle. The research may also provide insights on what proactive measures might be taken before fish production starts. "	JAN. 2010	JAN. 2017	Natural Sciences and Engineering Research Council of Canada (NSERC) Strategic Network Program; Fisheries and Oceans Canada (DFO); University of New Brunswick (UNB); New Brunswick Research Productivity Council (NBRPC); Cooke Aquaculture Inc.; Kyuquot SEAfoods Ltd.; Marine Harvest Canada Limited; Grieg Seafood BC Ltd.	"Shawn Robinson (DFO); Bruce MacDonald, Thierry Chopin, David Thumbi, Hannah Bradford, Kelli Mitchell, Leslie-Marie MacArthur-Britt, Eric Manuel (UNBSJ); Ben Forward (NBRPC); Terralynn Lander, Craig Smith (DFO)
"	Aquaculture - CIMTAN
